"Date","Link","Tweet","Comment"
"2018-09-21 11:09 PM","https://twitter.com/realdonaldtrump/status/1043336436676681729","RT @FoxBusiness: .@POTUS: ""The stock market is up 55%... Your 401(k)s are up 50, 60, 70% in some cases."" https://t.co/g38SD65pMW",""
"2018-10-03 09:04 AM","https://twitter.com/realdonaldtrump/status/1047472342354604033","The Stock Market just reached an All-Time High during my Administration for the 102nd Time, a presidential record, by far, for less than two years. So much potential as Trade and Military Deals are completed.",""
"2018-10-03 10:05 AM","https://twitter.com/realdonaldtrump/status/1047487803746074624","Blowout numbers on New Jobs and, separately, Services. Market up!",""
"2018-10-04 03:29 PM","https://twitter.com/realdonaldtrump/status/1047931723302887424","“U.S. Stocks Widen Global Lead” https://t.co/Snhv08ulcO","Image: ""U.S. Stocks Widen Global Lead"""
"2018-10-16 10:12 AM","https://twitter.com/realdonaldtrump/status/1052200515608690688","Incredible number just out, 7,036,000 job openings. Astonishing - it’s all working! Stock Market up big on tremendous potential of USA. Also, Strong Profits. We are Number One in World, by far!",""
"2018-10-16 10:39 PM","https://twitter.com/realdonaldtrump/status/1052388580734263297","Stock Market up 548 points today. Also, GREAT jobs numbers!",""
"2018-10-17 08:40 AM","https://twitter.com/realdonaldtrump/status/1052539788190986240","“Network News gave Zero coverage to the Big Day the Stock Market had yesterday.” @foxandfriends",""
"2018-10-21 03:26 PM","https://twitter.com/realdonaldtrump/status/1054091502585069568","Best Jobs Numbers in the history of our great Country! Many other things likewise. So why wouldn’t we win the Midterms? Dems can never do even nearly as well! Think of what will happen to your now beautiful 401-k’s!",""
"2018-10-30 08:33 AM","https://twitter.com/realdonaldtrump/status/1057249169507803137","The Stock Market is up massively since the Election, but is now taking a little pause - people want to see what happens with the Midterms. If you want your Stocks to go down, I strongly suggest voting Democrat. They like the Venezuela financial model, High Taxes & Open Borders!",""
"2018-10-30 08:53 AM","https://twitter.com/realdonaldtrump/status/1057254051254013953","“If the Fed backs off and starts talking a little more Dovish, I think we’re going to be right back to our 2,800 to 2,900 target range that we’ve had for the S&P 500.” Scott Wren, Wells Fargo.",""
"2018-10-31 09:04 AM","https://twitter.com/realdonaldtrump/status/1057619304949133312","Stock Market up more than 400 points yesterday. Today looks to be another good one. Companies earnings are great!",""
"2018-11-12 10:34 AM","https://twitter.com/realdonaldtrump/status/1062005636488142848","The prospect of Presidential Harassment by the Dems is causing the Stock Market big headaches!",""
"2019-01-04 08:06 AM","https://twitter.com/realdonaldtrump/status/1081175076727345152","As I have stated many times, if the Democrats take over the House or Senate, there will be disruption to the Financial Markets. We won the Senate, they won the House. Things will settle down. They only want to impeach me because they know they can’t win in 2020, too much success!",""
"2019-01-05 08:00 PM","https://twitter.com/realdonaldtrump/status/1081717108176752640","“Jobs up big, plus 312,000. Record number working. Manufacturing best in 20 years (Previous administration said this could not happen). Hispanic unemployment lowest ever. Dow plus 747 (for day).” @DRUDGE_REPORT",""
"2019-01-08 08:01 AM","https://twitter.com/realdonaldtrump/status/1082623264877432837","Economic numbers looking REALLY good. Can you imagine if I had long term ZERO interest rates to play with like the past administration, rather than the rapidly raised normalized rates we have today. That would have been SO EASY! Still, markets up BIG since 2016 Election!",""
"2019-01-19 07:51 AM","https://twitter.com/realdonaldtrump/status/1086607079308251136","The Economy is one of the best in our history, with unemployment at a 50 year low, and the Stock Market ready to again break a record (set by us many times) - & all you heard yesterday, based on a phony story, was Impeachment. You want to see a Stock Market Crash, Impeach Trump!",""
"2019-01-24 10:09 PM","https://twitter.com/realdonaldtrump/status/1088634979037466624","Great earnings coming out of Stock Market. Too bad Media doesn’t devote much time to this!",""
"2019-01-30 04:54 PM","https://twitter.com/realdonaldtrump/status/1090729920760893441","Dow just broke 25,000. Tremendous news!",""
"2019-02-01 09:16 AM","https://twitter.com/realdonaldtrump/status/1091339521931857926","Best January for the DOW in over 30 years. We have, by far, the strongest economy in the world!",""
"2019-02-19 07:30 AM","https://twitter.com/realdonaldtrump/status/1097835706024644608","Had the opposition party (no, not the Media) won the election, the Stock Market would be down at least 10,000 points by now. We are heading up, up, up!",""
"2019-02-25 10:12 AM","https://twitter.com/realdonaldtrump/status/1100050798015401984","Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)s as they continue to grow. We are bringing back America faster than anyone thought possible!",""
"2019-03-02 09:48 AM","https://twitter.com/realdonaldtrump/status/1101856883634302976","RT @realDonaldTrump: Since my election as President the Dow Jones is up 43% and the NASDAQ Composite almost 50%. Great news for your 401(k)…",""
"2019-03-29 05:41 PM","https://twitter.com/realdonaldtrump/status/1111745178824511489","Had the Fed not mistakenly raised interest rates, especially since there is very little inflation, and had they not done the ridiculously timed quantitative tightening, the 3.0% GDP, & Stock Market, would have both been much higher & World Markets would be in a better place!",""
"2019-04-14 10:04 AM","https://twitter.com/realdonaldtrump/status/1117428291227533312","If the Fed had done its job properly, which it has not, the Stock Market would have been up 5000 to 10,000 additional points, and GDP would have been well  over 4% instead of 3%...with almost no inflation. Quantitative tightening was a killer, should have done the exact opposite!",""
"2019-04-23 06:43 PM","https://twitter.com/realdonaldtrump/status/1120820536605585408","You mean the Stock Market hit an all-time record high today and they’re actually talking impeachment!? Will I ever be given credit for anything by the Fake News Media or Radical Liberal Dems? NO COLLUSION!",""
"2019-05-10 07:54 AM","https://twitter.com/realdonaldtrump/status/1126817742043136001","The average 401(k) balance has SOARED since the bottom of the market - 466%. Wow!",""
"2019-06-07 05:43 PM","https://twitter.com/realdonaldtrump/status/1137112921991983105","Dow Jones has best week of the year!",""
"2019-06-11 09:55 AM","https://twitter.com/realdonaldtrump/status/1138444530020245505","Good day in the Stock Market. People have no idea the tremendous potential our Country has for GROWTH - and many other things!",""
"2019-06-15 09:44 AM","https://twitter.com/realdonaldtrump/status/1139891393252474880","The Trump Economy is setting records, and has a long way up to go....However, if anyone but me takes over in 2020 (I know the competition very well), there will be a Market Crash the likes of which has not been seen before! KEEP AMERICA GREAT",""
"2019-06-19 08:12 PM","https://twitter.com/realdonaldtrump/status/1141499029727121408","Since Election Day 2016, Stocks up almost 50%, Stocks gained 9.2 Trillion Dollars in value, and more than 5,000,000 new jobs added to the Economy. @LouDobbs If our opponent had won, there would have been a market crash, plain and simple! @TuckerCarlson @seanhannity @IngrahamAngle",""
"2019-06-20 09:58 AM","https://twitter.com/realdonaldtrump/status/1141706991464849408","S&P opens at Record High!",""
"2019-06-20 06:22 PM","https://twitter.com/realdonaldtrump/status/1141833755033767943","S&P closes at Record High! https://t.co/C5nOXIQ7EJ",""
"2019-06-22 10:13 AM","https://twitter.com/realdonaldtrump/status/1142435387496902656","Stock Market is on track to have the best June in over 50 years! Thank you Mr. President! @WSJ",""
"2019-06-22 12:55 PM","https://twitter.com/realdonaldtrump/status/1142476293331738624","I am at Camp David working on many things, including Iran! We have a great Economy, Tariffs have been very helpful both with respect to the huge Dollars coming IN, & on helping to make good Trade Deals. The Dow heading to BEST June in 80 years! Stock Market BEST June in 50 years!",""
"2019-06-24 08:53 AM","https://twitter.com/realdonaldtrump/status/1143140106557186048","....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP in the 4’s or even 5’s. Now they stick, like a stubborn child, when we need rates cuts, & easing, to make up for what other countries are doing against us. Blew it!",""
"2019-06-25 08:11 AM","https://twitter.com/realdonaldtrump/status/1143492027897778176","Stock Market is heading for one of the best months (June) in the history of our Country. Thank you Mr. President!",""
